,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
0,芝,1200,全,all,4.33,6.99,466,56,65,69,60,71,42,56,47,34,41,44,42,43,38,31,34,30,34,16,23,13,11,10,14,4,4
1,芝,1200,良,all,4.34,7.08,352,38,50,54,48,53,29,43,37,26,27,31,34,35,30,25,24,21,24,13,17,11,9,8,9,4,4
2,芝,1200,稍重,all,3.7,5.8,36,6,4,7,6,5,5,1,2,3,4,5,2,5,4,2,2,1,2,2,2,1,0,0,1,0,0
3,芝,1200,重,all,4.36,7.07,54,7,8,7,4,12,3,7,6,3,6,6,4,3,3,4,6,6,7,0,2,0,1,0,3,0,0
4,芝,1200,不良,all,4.61,7.78,24,5,3,1,2,1,5,5,2,2,4,2,2,0,1,0,2,2,1,1,2,1,1,2,1,0,0
5,芝,1200,全,未勝利,4.29,7.04,93,14,8,16,9,16,13,9,8,7,8,5,8,13,9,2,6,7,7,8,5,2,1,2,2,0,1
6,芝,1200,良,未勝利,4.37,7.42,66,9,5,11,7,11,10,8,5,6,4,2,6,8,7,1,4,5,5,7,4,2,1,2,1,0,1
7,芝,1200,稍重,未勝利,3.8,5.73,15,3,1,3,2,3,2,0,1,1,2,2,1,4,1,0,1,0,1,1,0,0,0,0,1,0,0
8,芝,1200,重,未勝利,3.95,6.39,12,2,2,2,0,2,1,1,2,0,2,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,5.02,5.74,33,3,4,5,3,4,5,5,4,3,4,5,2,4,4,2,3,2,3,0,1,0,0,0,0,0,0
11,芝,1200,良,新馬,4.72,5.56,24,3,3,3,2,4,3,3,3,3,3,3,1,4,2,1,1,2,3,0,1,0,0,0,0,0,0
12,芝,1200,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,5.17,5.17,6,0,0,2,1,0,1,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,5.0,5.33,3,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.24,7.2,106,11,16,15,16,15,10,14,9,6,6,15,14,6,4,6,10,6,8,4,7,3,3,1,6,0,1
16,芝,1200,良,1勝クラス,4.34,7.37,76,6,12,11,12,11,7,11,6,4,3,11,11,5,3,4,8,5,5,3,4,3,2,0,4,0,1
17,芝,1200,稍重,1勝クラス,3.33,4.83,6,1,1,1,2,0,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,芝,1200,重,1勝クラス,4.11,7.5,12,0,2,3,1,4,0,1,1,0,0,1,2,1,1,1,1,1,2,0,1,0,0,0,1,0,0
19,芝,1200,不良,1勝クラス,4.34,8.08,12,4,1,0,1,0,2,2,2,1,3,1,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0
20,芝,1200,全,2勝クラス,4.01,6.16,75,9,14,12,11,12,2,8,7,6,10,6,5,7,9,9,5,2,7,0,3,3,1,1,0,0,1
21,芝,1200,良,2勝クラス,4.07,6.48,60,6,12,11,9,9,1,5,7,3,8,6,5,6,8,7,4,1,5,0,2,2,1,1,0,0,1
22,芝,1200,稍重,2勝クラス,4.34,8.16,6,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
23,芝,1200,重,2勝クラス,3.78,5.0,9,2,2,0,1,2,0,2,0,2,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1200,全,3勝クラス,4.51,7.25,48,4,7,8,8,9,4,4,4,3,1,3,5,5,6,4,4,5,2,2,3,1,1,1,1,1,0
26,芝,1200,良,3勝クラス,4.71,7.36,39,3,5,6,7,8,2,4,4,3,0,2,4,5,4,4,3,4,2,1,2,1,1,1,1,1,0
27,芝,1200,稍重,3勝クラス,3.17,6.16,6,1,1,2,1,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
28,芝,1200,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1200,不良,3勝クラス,4.33,8.0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30,芝,1200,全,オープン,4.4,7.45,96,13,13,10,12,13,6,15,14,7,11,9,6,6,4,8,6,7,7,1,3,4,4,4,5,3,1
31,芝,1200,良,オープン,4.22,7.2,72,9,10,9,10,8,4,11,11,5,8,6,5,5,4,8,4,3,4,1,3,3,3,3,3,3,1
32,芝,1200,稍重,オープン,5.0,5.33,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33,芝,1200,重,オープン,4.67,8.67,15,3,2,0,1,4,1,2,2,1,2,2,0,0,0,0,2,2,3,0,0,0,1,0,2,0,0
34,芝,1200,不良,オープン,4.66,7.5,6,1,0,1,1,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
35,芝,1400,全,all,4.58,7.34,638,67,74,88,91,84,71,76,87,48,56,44,63,52,58,52,32,35,37,35,23,19,23,20,17,12,12
36,芝,1400,良,all,4.57,7.42,490,52,61,64,69,64,59,58,63,38,46,30,51,36,43,38,26,25,26,32,22,11,22,14,14,9,7
37,芝,1400,稍重,all,5.04,7.43,64,5,6,10,9,9,6,9,10,4,2,8,4,7,5,8,3,5,5,2,1,2,1,3,1,0,3
38,芝,1400,重,all,4.73,7.58,63,6,4,9,11,10,4,8,11,5,4,4,5,7,7,5,3,4,5,1,0,5,0,3,2,3,0
39,芝,1400,不良,all,4.06,5.78,21,4,3,5,2,1,2,1,3,1,4,2,3,2,3,1,0,1,1,0,0,1,0,0,0,0,2
40,芝,1400,全,未勝利,4.5,7.98,181,18,21,28,24,24,24,19,23,10,12,12,14,16,16,16,7,12,7,12,11,6,10,5,6,4,5
41,芝,1400,良,未勝利,4.45,7.99,130,12,15,20,17,19,21,13,13,7,8,7,11,10,10,12,6,9,5,11,11,3,10,3,4,2,1
42,芝,1400,稍重,未勝利,5.16,9.39,12,1,2,1,1,1,1,2,3,1,0,2,0,1,1,1,0,0,1,1,0,0,0,1,1,0,2
43,芝,1400,重,未勝利,4.85,8.48,21,1,2,3,4,3,1,3,4,1,1,1,1,3,2,2,1,2,1,0,0,2,0,1,1,2,0
44,芝,1400,不良,未勝利,4.04,5.92,18,4,2,4,2,1,1,1,3,1,3,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,2
45,芝,1400,全,新馬,4.82,6.48,87,9,11,7,12,10,10,15,13,7,10,7,10,8,6,6,9,3,5,5,2,3,1,1,2,0,2
46,芝,1400,良,新馬,4.57,6.28,66,7,10,4,9,7,9,11,9,5,9,4,9,5,5,4,7,3,3,4,2,1,1,0,2,0,2
47,芝,1400,稍重,新馬,6.0,6.0,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48,芝,1400,重,新馬,5.12,7.29,18,2,1,2,3,3,1,3,3,2,1,2,1,3,1,1,1,0,2,1,0,2,0,1,0,0,0
49,芝,1400,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1400,全,1勝クラス,4.41,8.0,138,16,19,22,19,15,14,15,18,11,10,11,12,9,13,10,5,2,13,5,6,4,6,8,3,7,3
51,芝,1400,良,1勝クラス,4.5,8.18,114,14,17,16,15,13,12,13,14,9,10,9,10,6,10,7,5,2,12,4,5,2,6,7,2,6,2
52,芝,1400,稍重,1勝クラス,4.61,8.17,18,0,2,5,3,2,2,2,2,0,0,2,2,3,2,2,0,0,1,1,1,2,0,1,0,0,1
53,芝,1400,重,1勝クラス,4.16,8.0,6,2,0,1,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
54,芝,1400,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1400,全,2勝クラス,4.63,6.44,97,8,10,11,18,15,12,11,12,7,11,7,13,9,6,10,6,8,7,4,3,2,2,2,0,0,0
56,芝,1400,良,2勝クラス,4.34,6.1,72,8,8,7,15,11,7,8,8,7,9,4,10,7,5,7,4,4,3,4,3,2,2,1,0,0,0
57,芝,1400,稍重,2勝クラス,5.55,8.08,13,0,1,2,1,2,2,2,3,0,1,2,0,1,0,2,1,2,3,0,0,0,0,1,0,0,0
58,芝,1400,重,2勝クラス,5.25,6.08,9,0,0,1,2,2,2,1,1,0,0,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0
59,芝,1400,不良,2勝クラス,3.67,5.33,3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,芝,1400,全,3勝クラス,4.75,7.15,51,5,4,6,7,6,8,7,8,5,2,3,6,4,7,5,1,2,2,6,1,1,1,2,2,0,1
61,芝,1400,良,3勝クラス,4.56,7.13,42,4,4,6,6,3,7,5,7,4,2,3,5,2,6,4,1,2,1,6,1,0,1,1,2,0,1
62,芝,1400,稍重,3勝クラス,4.66,4.66,6,1,0,0,1,2,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
63,芝,1400,重,3勝クラス,6.67,12.67,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
64,芝,1400,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,芝,1400,全,オープン,4.45,6.74,63,9,9,10,6,10,2,7,10,7,10,3,8,4,8,2,2,4,2,3,0,2,2,2,2,1,1
66,芝,1400,良,オープン,4.77,7.04,51,6,7,8,4,9,2,6,9,5,8,2,6,4,6,2,2,3,1,3,0,2,1,2,2,1,1
67,芝,1400,稍重,オープン,3.83,5.34,6,2,1,0,1,0,0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
68,芝,1400,重,オープン,3.0,5.0,6,1,1,2,1,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
69,芝,1400,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,芝,1600,全,all,4.6,6.96,870,100,112,100,114,106,116,104,118,67,97,55,76,73,84,67,57,55,57,38,40,32,24,23,25,0,0
71,芝,1600,良,all,4.6,7.0,672,71,85,81,87,87,95,78,88,46,71,44,60,62,65,49,45,45,47,32,32,22,20,13,19,0,0
72,芝,1600,稍重,all,4.63,6.83,99,12,13,9,14,13,11,15,12,8,12,7,8,8,8,13,5,8,6,3,2,6,0,2,3,0,0
73,芝,1600,重,all,4.28,7.13,78,14,12,6,13,3,8,9,13,10,12,3,7,3,8,3,5,1,4,3,4,2,4,7,2,0,0
74,芝,1600,不良,all,4.96,8.1,21,3,2,4,0,3,2,2,5,3,2,1,1,0,3,2,2,1,0,0,2,2,0,1,1,0,0
75,芝,1600,全,未勝利,4.41,7.17,263,31,40,37,33,30,34,27,31,16,27,17,29,22,23,18,17,19,13,12,12,10,9,10,9,0,0
76,芝,1600,良,未勝利,4.52,7.44,197,19,32,27,25,24,29,20,21,9,18,13,23,18,18,14,12,15,12,9,11,5,8,6,6,0,0
77,芝,1600,稍重,未勝利,4.42,7.0,27,3,3,3,4,4,4,5,1,2,3,2,2,3,0,3,2,3,1,2,0,3,0,0,1,0,0
78,芝,1600,重,未勝利,3.7,6.38,30,7,5,4,4,1,1,2,6,3,6,2,3,1,3,0,3,1,0,1,1,1,1,3,1,0,0
79,芝,1600,不良,未勝利,4.44,7.67,9,2,0,3,0,1,0,0,3,2,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,0,0
80,芝,1600,全,新馬,4.83,7.19,126,13,15,11,19,13,20,15,20,8,18,6,9,7,11,15,8,4,13,4,9,4,4,3,3,0,0
81,芝,1600,良,新馬,4.93,7.88,96,11,12,10,15,10,15,8,15,7,15,5,7,6,9,9,4,1,10,4,6,4,3,3,3,0,0
82,芝,1600,稍重,新馬,5.54,7.1,21,2,2,0,3,2,3,5,4,1,2,0,1,1,2,5,3,3,2,0,1,0,0,0,0,0,0
83,芝,1600,重,新馬,5.67,8.33,6,0,0,1,1,0,2,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
84,芝,1600,不良,新馬,4.67,7.33,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
85,芝,1600,全,1勝クラス,4.77,7.31,265,30,30,28,31,32,35,38,41,23,26,14,18,23,25,16,20,17,20,13,12,11,10,8,9,0,0
86,芝,1600,良,1勝クラス,4.77,7.31,211,23,23,23,21,27,29,32,33,16,20,10,14,19,19,13,17,17,17,12,10,9,8,3,7,0,0
87,芝,1600,稍重,1勝クラス,4.92,7.54,21,2,3,3,3,3,1,3,3,2,2,3,3,3,1,1,0,0,1,0,0,2,0,2,1,0,0
88,芝,1600,重,1勝クラス,4.55,7.74,27,4,3,1,7,1,4,2,5,4,3,0,1,1,4,1,2,0,2,1,2,0,2,3,1,0,0
89,芝,1600,不良,1勝クラス,4.0,4.5,6,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
90,芝,1600,全,2勝クラス,4.7,5.97,84,8,10,7,14,12,10,12,11,7,10,7,9,10,9,10,8,3,3,2,1,3,0,1,1,0,0
91,芝,1600,良,2勝クラス,4.74,5.62,63,4,7,6,12,10,8,9,7,4,7,6,7,9,7,7,8,2,3,1,0,2,0,0,0,0,0
92,芝,1600,稍重,2勝クラス,4.42,5.67,15,3,2,1,2,1,2,1,3,2,3,1,1,0,2,2,0,1,0,1,1,0,0,0,1,0,0
93,芝,1600,重,2勝クラス,5.0,7.5,6,1,1,0,0,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
94,芝,1600,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,芝,1600,全,3勝クラス,4.6,6.52,51,5,9,6,5,7,8,4,7,4,8,5,3,4,8,1,2,3,4,4,3,1,0,0,1,0,0
96,芝,1600,良,3勝クラス,4.64,6.64,33,2,4,6,4,5,6,1,5,2,4,4,1,4,7,1,2,1,1,3,2,0,0,0,1,0,0
97,芝,1600,稍重,3勝クラス,3.45,5.22,9,2,3,0,0,2,1,1,0,1,2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
98,芝,1600,重,3勝クラス,3.83,5.0,6,1,2,0,1,0,0,2,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
99,芝,1600,不良,3勝クラス,7.33,11.33,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
100,芝,1600,全,オープン,4.34,6.53,63,8,7,7,10,11,8,6,6,5,7,4,6,6,6,7,2,6,3,3,3,2,0,1,2,0,0
101,芝,1600,良,オープン,4.31,6.51,54,7,6,5,8,10,7,6,5,4,6,4,6,5,3,5,2,6,3,3,3,1,0,1,2,0,0
102,芝,1600,稍重,オープン,4.5,7.34,6,0,0,2,2,1,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0
103,芝,1600,重,オープン,3.0,3.0,3,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,芝,1600,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,芝,1800,全,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,芝,1800,良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,芝,1800,稍重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,芝,1800,重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,芝,1800,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,芝,1800,全,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,芝,1800,良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,芝,1800,稍重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,芝,1800,重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,芝,1800,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,芝,1800,全,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,芝,1800,良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,芝,1800,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,芝,1800,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,芝,1800,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,芝,1800,全,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,芝,1800,良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,芝,1800,稍重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,芝,1800,重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,芝,1800,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,芝,1800,全,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,芝,1800,良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,芝,1800,稍重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,芝,1800,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,芝,1800,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,芝,1800,全,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,芝,1800,良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,芝,1800,稍重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,芝,1800,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,芝,1800,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,芝,1800,全,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,芝,1800,良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,芝,1800,稍重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,芝,1800,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,芝,1800,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,芝,1900,全,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,芝,1900,良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,芝,1900,稍重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,芝,1900,重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,芝,1900,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,芝,1900,全,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,芝,1900,良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,芝,1900,稍重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,芝,1900,重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,芝,1900,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,芝,1900,全,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,芝,1900,良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,芝,1900,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,芝,1900,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,芝,1900,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,芝,1900,全,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,芝,1900,良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,芝,1900,稍重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,芝,1900,重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,芝,1900,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,芝,1900,全,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,芝,1900,良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,芝,1900,稍重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,芝,1900,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,芝,1900,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,芝,1900,全,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,芝,1900,良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,芝,1900,稍重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,芝,1900,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,芝,1900,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,芝,1900,全,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,芝,1900,良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,芝,1900,稍重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,芝,1900,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,芝,1900,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,芝,2000,全,all,4.65,6.45,1101,127,136,128,129,141,140,144,156,110,113,98,107,93,95,90,87,67,57,54,30,29,24,16,14,8,9
176,芝,2000,良,all,4.69,6.57,864,102,100,100,104,112,105,112,129,88,85,74,81,72,76,72,70,51,46,43,25,23,19,13,12,7,7
177,芝,2000,稍重,all,4.41,6.1,117,11,17,15,12,13,19,15,15,11,11,15,14,10,5,7,9,10,5,8,3,3,3,2,0,0,1
178,芝,2000,重,all,4.29,5.8,99,12,18,10,13,11,11,14,10,10,15,7,12,8,11,8,8,4,4,2,1,2,2,1,2,1,1
179,芝,2000,不良,all,5.09,6.69,21,2,1,3,0,5,5,3,2,1,2,2,0,3,3,3,0,2,2,1,1,1,0,0,0,0,0
180,芝,2000,全,未勝利,4.62,7.14,357,38,50,46,38,41,50,40,54,30,36,29,36,21,26,19,33,24,19,25,12,9,12,7,10,4,5
181,芝,2000,良,未勝利,4.72,7.27,258,30,32,35,24,29,38,27,43,25,23,21,21,16,22,13,22,16,15,20,10,7,7,6,8,3,3
182,芝,2000,稍重,未勝利,4.65,6.85,48,2,10,6,7,4,7,6,6,2,6,7,8,2,0,3,6,4,2,4,0,0,3,0,0,0,1
