クラス,血統,1着,2着,3着,着外
all,ベーカバド Behkabad(仏),1,0,0,0
all,マインドユアビスケッツ Mind Your Biscuits(米),1,0,0,0
all,Uncle Mo (米),0,1,0,0
all,ゴールドシップ,0,1,0,2
all,ディーマジェスティ,0,1,0,0
all,キタサンブラック,0,0,1,0
all,アスカクリチャン,0,0,0,1
all,ケープブランコ Cape Blanco(英),0,0,0,1
all,サトノアラジン,0,0,0,1
all,サトノクラウン,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ディープインパクト,0,0,0,2
all,ドゥラメンテ,0,0,0,1
all,ハーツクライ,0,0,0,4
all,ハービンジャー Harbinger(英),0,0,0,3
all,ルーラーシップ,0,0,0,1
all,ロージズインメイ Roses in May(米),0,0,0,1
1勝クラス,ベーカバド Behkabad(仏),1,0,0,0
1勝クラス,Uncle Mo (米),0,1,0,0
1勝クラス,ディーマジェスティ,0,1,0,0
1勝クラス,アスカクリチャン,0,0,0,1
1勝クラス,ケープブランコ Cape Blanco(英),0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,サトノクラウン,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,2
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
未勝利,マインドユアビスケッツ Mind Your Biscuits(米),1,0,0,0
未勝利,ゴールドシップ,0,1,0,1
未勝利,キタサンブラック,0,0,1,0
未勝利,ダノンバラード,0,0,0,1
未勝利,ハーツクライ,0,0,0,3
未勝利,ハービンジャー Harbinger(英),0,0,0,3
未勝利,ルーラーシップ,0,0,0,1
未勝利,ロージズインメイ Roses in May(米),0,0,0,1
