,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,フェブリノ,牝3,55.0,小沢,加藤公,400(+2),栗東,2023104075,01185,マクフィ,フェブノヘア,ヨハネスブルグ,-1.2279539783980804,9
1,1,2,ブルーハーツ,牡3,57.0,武藤,勢司,480(-4),美浦,2023101627,01169,エポカドーロ,ユニヴァースパール,ネオユニヴァース,-1.1718665767949101,8
2,2,3,ジョーヌミモザ,牝3,52.0,▲大久保,小野,422(+2),美浦,2023100264,01194,ノーブルミッション,ゴールデンムーン,アドマイヤムーン,0.7073864305809188,3
3,2,4,フクオトコ,牡3,57.0,菊沢,菊沢,450(-8),美浦,2023102564,01161,フィエールマン,アースエンジェル,キンシャサノキセキ,-2.3719213446978458,14
4,3,5,ブレッティレディ,牝3,55.0,横山琉,高橋一,446(+4),栗東,2023101092,01192,シュヴァルグラン,ディアボレット,ディープブリランテ,-2.5117700588992196,15
5,3,6,セイウンプーパ,牝3,52.0,▲遠藤,奥平,422(0),美浦,2023105570,01218,キタサンブラック,ターフグロッカ,Soldier Hollow,-1.398644312418612,10
6,4,7,ケイツースクード,牡3,54.0,▲上里,萱野,416(-8),美浦,2023104018,01217,ダノンスマッシュ,ロードライト,ヴィクトワールピサ,-1.8016291730892797,12
7,4,8,ウィズアツインクル,牡3,57.0,富田,牧,484(-2),美浦,2023102388,01168,ダノンバラード,ツインクルスター,サクラバクシンオー,-3.0309538490211283,16
8,5,9,ジューンスマッシュ,牡3,57.0,本田重,杉山佳,446(+8),栗東,2023106699,05443,ダノンスマッシュ,ジューンヴィエナ,カンパニー,-1.113124252502953,7
9,5,10,エンチャンテッド,牝3,53.0,◇今村,佐藤吉,406(+2),美浦,2023104082,01193,ミスターメロディ,ヒシガーネット,マンハッタンカフェ,-2.2500116975811593,13
10,6,11,フィラーエ,牝3,55.0,国分恭,高橋康,446(-6),栗東,2023102025,01124,ノーブルミッション,イシス,キングヘイロー,-1.7165818491738858,11
11,6,12,ナデシコザクラ,牝3,52.0,▲小林美,秋山,424(+4),栗東,2023103916,01206,ビーチパトロール,ナデシコニッポン,アドマイヤジャパン,-0.65045285240572,4
12,7,13,エクスペクタント,牡3,54.0,▲和田陽,西園翔,466(0),栗東,2023105579,01223,ミッキーアイル,レインボークォーツ,Mr. Greeley,0.8389508378114611,1
13,7,14,アヴァンフライト,牝3,52.0,▲石田,上原佑,440(-2),美浦,2023103525,01203,パドトロワ,フラミンゴフライト,Flatter,0.7929557096516612,2
14,8,15,バッカス,牡3,57.0,斎藤,長谷川,470(+2),栗東,2023104924,01178,レッドファルクス,エアティアーモ,ロージズインメイ,-1.00101831353161,5
15,8,16,シルバーアックス,牡3,55.0,△舟山,村田,460(0),美浦,2023104434,01221,シスキン,フィネス,ディープインパクト,-1.00101831353161,5
