,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ヒカ,牝3,52.0,▲和田陽,飯田,502(-2),栗東,2023105671,01223,クリソベリル,オーシャンズ,サウスヴィグラス,-2.3271521092426295,10
1,2,2,エイユーサクラ,牝3,55.0,横山琉,高橋忠,478(+6),栗東,2023101933,01192,ダノンレジェンド,エイユーモモチャン,サクラバクシンオー,-3.521852492480054,14
2,2,3,サイモンセレーノ,牝3,52.0,▲石神道,勢司,436(-10),美浦,2023105097,01209,カリフォルニアクローム,ペルスネージュ,ディープインパクト,-2.109816580419821,9
3,3,4,サツキマーメイド,牝3,55.0,菅原隆,石栗,404(-6),美浦,2023104266,01129,ビーチパトロール,サツキワルツ,アーネストリー,-3.256074758521598,12
4,3,5,ゴールドドレッサ,牝3,52.0,▲石田,中川,434(-2),美浦,2023102432,01203,ゴールドドリーム,ラタンドレス,エンパイアメーカー,-2.6680563177835515,11
5,4,6,エイシンキーンラン,牝3,55.0,菊沢,田中剛,470(-6),美浦,2023105530,01161,エイシンヒカリ,エイシンロード,ジャスタウェイ,-1.1008619335374863,6
6,4,7,ノヴェルカフナ,牝3,52.0,▲小林美,秋本,472(0),美浦,2023105426,01206,スマートオーディン,ウィステリアカフナ,スペシャルウィーク,-0.24272894581902657,1
7,5,8,レインボーワールド,牝3,55.0,野中,畠山,438(0),美浦,2023100891,01158,トゥザワールド,デヴァター,トーセンラー,-3.456313834815848,13
8,5,9,ロジマギー,牝3,55.0,丸山,宮田,460(-8),美浦,2023107361,01127,ハービンジャー,ロジマギーゴー,ハーツクライ,-0.8923801657711641,4
9,6,10,ホテルストリート,牝3,55.0,丹内,伊藤大,490(+2),美浦,2023106085,01091,オルフェーヴル,サイドストリート,ヨハネスブルグ,-3.8264606742332568,15
10,6,11,メイショウサザナミ,牝3,52.0,▲遠藤,本田,484(0),栗東,2023105206,01218,マジェスティックウォリアー,メイショウナヴィア,リオンディーズ,-0.5613298006093224,2
11,7,12,チカマヨルキーナ,牝3,55.0,松本,藤岡健,478(0),栗東,2023105220,01191,ナダル,エスキシータ,ハーツクライ,-0.8124952388707127,3
12,7,13,ピンクカメリア,牝3,55.0,川又,笹田,402(0),栗東,2023101229,01166,リアルスティール,クリームヒルト,ノヴェリスト,-1.0992185382494888,5
13,8,14,タイセイパフューム,牝3,53.0,◇古川奈,牧浦,478(+2),栗東,2023103762,01190,マインドユアビスケッツ,エヌワイパフューム,ジャスタウェイ,-1.2067044367215456,7
14,8,15,シュヴェスター,牝3,55.0,長岡,高橋亮,424(+2),栗東,2023104158,01142,シニスターミニスター,ペルレストラーダ,アルデバラン,-1.2948735857898328,8
