,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,コイヌール,セ5,60.0,伴,柄崎,,美浦,2021106561,01149,リオンディーズ,ウインジュビリー,シンボリクリスエス
1,2,2,ロワゾブルー,牝4,57.0,▲土田,小島,,美浦,2022103559,01198,ノヴェリスト,ヘレナモルフォ,ジャングルポケット
2,3,3,スティルシャイニン,牡4,57.0,▲水沼,天間,,美浦,2022103884,01201,メイショウボーラー,コウユーヒカリママ,ロックオブジブラルタル
3,3,4,オーサムストローク,牡5,60.0,草野,伊藤圭,,美浦,2021100557,01113,エピファネイア,グランドクララ,Frankel
4,4,5,トモジャシャトー,牡5,60.0,大江圭,小笠,,美浦,2021101041,01120,デクラレーションオブウォー,ジーニマジック,ダイワメジャー
5,4,6,テーオーサンドニ,牡7,60.0,中村,高柳大,,栗東,2019104079,01101,キタサンブラック,ポールポジション,Pivotal
6,5,7,ガストン,セ7,60.0,小坂,高橋康,,栗東,2019105461,01063,シルバーステート,ミッキーパール,タニノギムレット
7,5,8,ヴェールランス,牡7,60.0,五十嵐,田村,,美浦,2019104767,01069,キタサンブラック,ジュエラー,ヴィクトワールピサ
8,6,9,コルデアニル,牝6,58.0,黒岩,金成,,美浦,2020103154,01072,モーリス,ブルザンインディゴ,フジキセキ
9,6,10,アクロスザリバー,牡4,57.0,▲坂口,蛯名利,,美浦,2022100481,01211,カリフォルニアクローム,トクラットリバー,ウォーエンブレム
10,7,11,タイセイレスポンス,セ5,60.0,小牧加,安田,,栗東,2021105646,01196,ミッキーアイル,チャイマックス,Congrats
11,7,12,アルヴィア,牡5,60.0,上野,和田雄,,美浦,2021106965,01087,シュヴァルグラン,アイアムラヴィング,ファルブラヴ
12,8,13,エーティータキオン,牡6,60.0,金子,的場,,美浦,2020101677,01052,デクラレーションオブウォー,アドマイヤオウカ,シンボリクリスエス
13,8,14,クロライナ,セ4,57.0,▲小林凌,室井,,美浦,2022104753,01177,アルアイン,クロトノーナ,ルーラーシップ
