,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202608020104,1,7,8,ヴィエントデコラ,牡3,57.0,岩田望,0:1:55.1,,1,1.1,38.0,,栗東 寺島,452(-4)
202608020104,2,6,6,ダイメイクマモト,牡3,57.0,太宰,0:1:55.8,4,3,12.9,38.8,,栗東 秋山,468(-2)
202608020104,3,5,5,ラジャブルック,牡3,57.0,北村友,0:1:55.9,1/2,2,8.0,38.7,,栗東 高野,488(+12)
202608020104,4,7,9,シャインゴーツ,牡3,57.0,高杉,0:1:56.0,1/2,4,23.2,39.1,,栗東 北出,444(-4)
202608020104,5,8,10,コンテナヒーロー,牡3,57.0,吉村,0:1:56.8,5,5,36.6,39.3,,栗東 茶木,496(0)
202608020104,6,4,4,カミノトップワン,牡3,55.0,◇永島,0:1:57.2,2.1/2,9,95.7,39.1,,栗東 千田,464(-14)
202608020104,7,2,2,ベルドゥニュイ,牝3,55.0,菱田,0:1:57.2,アタマ,10,247.6,39.3,,栗東 矢作,448(-6)
202608020104,8,6,7,タワーオブバベル,牡3,57.0,国分優,0:1:57.3,1/2,7,52.5,39.8,,栗東 坂口,510(-4)
202608020104,9,1,1,サイモンゼスト,牡3,57.0,酒井,0:1:57.5,3/4,6,39.9,39.1,,栗東 佐々木,506(+8)
202608020104,10,8,11,エルリオ,牝3,55.0,団野,0:1:58.1,3.1/2,8,61.8,40.8,,美浦 深山,438(0)
202608020104,11,3,3,エンドレスクライ,牡3,54.0,▲川端,0:2:00.7,大,11,469.2,42.5,,栗東 杉山佳,508(0)
