,2023100989
peds_0,ベンバトル  Benbatl(英)  2014 鹿毛  [血統][産駒]  Mr. Prospector系
peds_1,オースミハナチャン  2013 栗毛  [血統][産駒]  FNo.[5-i]
peds_2,Dubawi  2002 鹿毛  [血統][産駒]
peds_3,Nahrain  2008 栗毛  [血統][産駒]
peds_4,ハーツクライ  2001 鹿毛  [血統][産駒]
peds_5,オースミリンド  1996 栗毛  [血統][産駒]
peds_6,Dubai Millennium  (英)  1996 鹿毛  [血統][産駒]
peds_7,Zomaradah  1995 鹿毛  [血統][産駒]
peds_8,Selkirk  1988 栗毛  [血統][産駒]
peds_9,Bahr  1995 栗毛  [血統][産駒]
peds_10,サンデーサイレンス  Sunday Silence(米)  1986 青鹿毛  [血統][産駒]
peds_11,アイリッシュダンス  1990 鹿毛  [血統][産駒]
peds_12,Woodman  1983 栗毛  [血統][産駒]
peds_13,ダンシングアウンティー  Dancing Auntie(米)  1990 鹿毛  [血統][産駒]
peds_14,Seeking the Gold 1985 鹿毛
peds_15,Colorado Dancer 1986 黒鹿毛
peds_16,Deploy 1987 鹿毛
peds_17,Jawaher 1989 鹿毛
peds_18,Sharpen Up 1969 栗毛
peds_19,Annie Edge 1980 栗毛
peds_20,ジェネラス 1988 栗毛
peds_21,Lady of the Sea 1986 栗毛
peds_22,Halo 1969 黒鹿毛
peds_23,Wishing Well 1975 鹿毛
peds_24,トニービン 1983 鹿毛
peds_25,ビューパーダンス 1983 黒鹿毛
peds_26,Mr. Prospector 1970 鹿毛
peds_27,プレイメイト 1975 栗毛
peds_28,Nureyev 1977 鹿毛
peds_29,Aunt Carol 1978 鹿毛
peds_30,Mr. Prospector
peds_31,Con Game
peds_32,Shareef Dancer
peds_33,Fall Aspen
peds_34,Shirley Heights
peds_35,Slightly Dangerous
peds_36,ダンシングブレーヴ
peds_37,High Tern
peds_38,エタン
peds_39,Rocchetta
peds_40,Nebbiolo
peds_41,Friendly Court
peds_42,Caerleon
peds_43,Doff the Derby
peds_44,Mill Reef
peds_45,La Mer
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,カンパラ
peds_51,Severn Bridge
peds_52,Lyphard
peds_53,My Bupers
peds_54,Raise a Native
peds_55,Gold Digger
peds_56,Buckpasser
peds_57,Intriguing
peds_58,Northern Dancer
peds_59,Special
peds_60,Big Spruce
peds_61,Dinky Pinky
