,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/03/27,水沢,晴,10,春分特別,12,8,12,186.7,12,11,阿部英俊,56,ダ1600,重,1:44.9,2.8,12-12-12-12,0.0-37.3,38.7,510(-6),サンエイウイング
1,2023/03/14,水沢,晴,11,浅春特別,10,8,10,83.1,7,10,阿部英俊,56,ダ1600,良,1:48.1,4.1,10-10-10-10,0.0-38.6,40.8,516(-14),トキノパイレーツ
2,2023/01/23,大井,曇,9,C1一,16,6,11,172.5,10,11,吉井章,56,ダ1800,良,1:58.0,2.1,11-11-11-11,39.2-38.7,39.8,530(-1),ダイキチホマレ
3,2022/12/27,大井,晴,9,KRAトロフィー競走,16,4,7,154.5,16,15,藤田凌,56,ダ1600,稍,1:44.4,3.1,14-14-13-13,37.8-38.4,40.1,531(-1),ミルニュイ
4,2022/12/05,大井,雨,12,オープス磐梯賞競走,15,6,11,35.4,10,15,藤田凌,56,ダ1800,重,1:58.0,5.7,14-14-15-15,37.5-37.9,42.1,532(+12),スミソニアン
5,2022/10/08,4東京1,曇,8,3歳以上1勝クラス,13,5,6,88.4,10,9,丹内祐次,57,ダ2100,重,2:10.7,2.2,9-7-3-6,30.2-37.2,38.7,520(+10),ホウオウバリスタ
6,2022/09/19,4中山5,晴,8,3歳以上1勝クラス,16,2,3,22.8,10,12,丹内祐次,57,ダ2400,重,2:38.5,4.4,14-14-15-16,37.5-39.9,42.1,510(-14),ワカミヤプレスト
7,2021/12/05,5中山2,晴,7,3歳以上1勝クラス,16,7,13,36.5,10,2,丹内祐次,57,ダ2500,良,2:43.1,0.5,2-2-1-1,31.5-39.2,39.7,524(+8),カフェキング
8,2021/11/14,2福島4,晴,6,3歳以上1勝クラス,13,5,7,10.0,6,10,秋山稔樹,56,ダ2400,良,2:39.3,3.4,12-13-12-12,38.7-38.0,39.7,516(+6),リノユニヴァース
9,2021/10/23,4東京5,晴,7,3歳以上1勝クラス,9,8,8,41.0,8,7,野中悠太,57,ダ2100,稍,2:13.7,1.3,5-5-4-3,30.4-38.5,39.4,510(-8),トップリーチ
10,2021/05/15,2東京7,晴,8,4歳以上1勝クラス,16,8,16,19.0,7,15,横山琉人,54,ダ2100,良,2:15.3,2.2,12-12-10-10,31.5-37.4,38.6,518(+4),ダルムシュタット
11,2021/04/18,1新潟4,雨,8,4歳以上1勝クラス,12,1,1,4.5,1,8,丹内祐次,57,ダ2500,不,2:43.5,1.6,7-7-7-7,30.4-39.7,40.4,514(-2),サンロックランド
12,2021/04/03,3中山3,晴,8,4歳以上1勝クラス,16,3,6,13.0,7,2,丹内祐次,57,ダ2400,良,2:36.5,0.2,6-5-5-4,38.5-39.7,39.2,516(-4),ファンタスティック
13,2021/03/14,2中山6,晴,8,4歳以上1勝クラス,13,5,7,9.9,6,9,吉田豊,56,ダ2400,重,2:37.7,1.6,13-13-13-13,37.8-40.2,39.7,520(+2),ワンダーラジャ
14,2021/01/10,1中山3,晴,8,4歳以上1勝クラス,16,6,12,4.2,2,12,井上敏樹,56,ダ2400,良,2:41.7,1.6,13-14-15-15,39.9-39.6,39.7,518(+6),ユメノサキ
15,2020/12/19,5中山5,曇,8,3歳以上1勝クラス,10,6,7,5.1,3,3,井上敏樹,55,ダ2500,良,2:45.2,0.2,7-6-5-4,31.4-38.6,38.3,512(-8),サトノパシュート
16,2020/11/15,3福島6,晴,6,3歳以上1勝クラス,16,7,13,20.0,9,2,井上敏樹,55,ダ2400,良,2:36.5,0.9,13-13-11-7,36.2-39.3,39.6,520(-4),メイショウオオタカ
17,2020/11/08,5東京2,晴,7,3歳以上1勝クラス,13,1,1,33.8,10,10,井上敏樹,55,ダ2100,良,2:14.0,1.8,11-11-10-12,31.0-37.0,37.8,524(+10),モルタル
18,2020/08/15,3新潟1,曇,12,3歳以上1勝クラス,15,3,4,52.6,12,7,井上敏樹,54,ダ1800,良,1:54.8,0.9,15-15-14-14,37.6-38.4,37.4,514(+8),ブルーノジュネス
19,2020/05/17,2東京8,晴,3,3歳未勝利,14,5,7,18.1,8,1,井上敏樹,56,ダ2100,稍,2:15.8,-0.1,11-11-14-13,31.9-38.0,36.8,506(-2),(シュバルツイェガー)
20,2020/04/12,3中山6,曇,3,3歳未勝利,16,8,16,72.2,8,9,井上敏樹,56,ダ1800,稍,1:57.3,2.2,14-13-13-11,38.2-38.3,38.7,508(+4),ラストマン
21,2020/02/16,1東京6,雨,4,3歳新馬,16,6,12,38.5,10,7,石橋脩,56,ダ1600,稍,1:42.2,2.3,15-15,35.7-38.4,37.9,504(0),アキノスマート
