,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2024/10/23,園田,曇,11,なにわの畜産ひろば特,11,3,3,9.9,5,10,吉村智洋,54,ダ1230,稍,1:24.6,4.7,4-3-9-9,0.0-39.5,43.8,467(-1),スネークアイズ
1,2024/09/16,3中京5,曇,8,3歳以上1勝クラス,18,4,8,113.7,14,17,亀田温心,56,芝1400,良,1:23.0,1.9,1-1,34.5-34.7,36.6,468(+2),コト
2,2024/07/28,1札幌4,曇,8,3歳以上1勝クラス,14,2,2,78.6,12,12,角田大河,55,芝1200,稍,1:10.3,0.7,2-1,34.2-35.4,36.0,466(-6),ロードトレイル
3,2024/07/13,1函館11,晴,12,3歳以上1勝クラス,13,8,12,27.5,9,11,富田暁,56,芝1200,良,1:10.8,0.7,5-5,34.6-35.5,35.6,472(+14),ハートホイップ
4,2024/05/12,3京都8,曇,8,4歳以上1勝クラス,12,8,12,12.2,4,10,古川奈穂,52,ダ1200,良,1:13.7,1.3,1-1,35.2-37.2,38.5,458(0),ノットファウンド
5,2024/05/04,1新潟3,晴,7,4歳以上1勝クラス,14,4,5,8.2,5,10,富田暁,56,ダ1200,良,1:14.0,1.3,5-7,34.8-37.9,38.7,458(0),ライブリームーラン
6,2024/02/24,2小倉5,晴,9,秋吉台特別(1勝クラス),14,5,8,23.2,7,5,藤岡佑介,56,芝1200,稍,1:09.7,0.5,2-2,34.5-34.7,35.1,458(0),レッドアヴァンティ
7,2024/02/10,2小倉1,晴,12,4歳以上1勝クラス,18,7,14,34.8,12,10,富田暁,56,芝1200,良,1:08.7,1.0,9-9,33.4-34.3,34.4,458(-2),リシャールケリー
8,2023/11/11,3福島3,晴,6,3歳以上1勝クラス,16,8,16,5.3,2,15,富田暁,55,芝1200,良,1:11.2,1.2,4-4,33.7-36.3,37.3,460(+4),ビッグボーンリタ
9,2023/08/26,3小倉5,晴,7,3歳未勝利,18,7,13,4.1,2,1,松山弘平,54,芝1200,良,1:08.6,-0.2,6-5,33.3-35.3,34.7,456(+4),(ハッピーアズラリー)
10,2023/08/19,3小倉3,晴,4,3歳未勝利,18,5,9,12.4,4,4,幸英明,54,芝1200,良,1:07.9,0.4,13-9,32.9-34.6,33.9,452(0),プロスペリダード
11,2023/07/02,3中京2,晴,4,3歳未勝利,18,3,6,4.4,2,10,坂井瑠星,54,芝1400,稍,1:22.0,1.4,2-2,33.3-35.9,37.1,452(0),スイミーユニバンス
12,2023/06/10,3阪神3,晴,3,3歳未勝利,16,3,6,13.5,6,4,団野大成,54,芝1200,良,1:08.6,0.6,5-5,34.0-34.0,34.2,452(+4),ニシノコウダイ
13,2023/02/25,1阪神5,晴,1,3歳未勝利,12,8,12,4.6,2,4,岩田望来,54,ダ1800,稍,1:56.9,1.9,3-3-2-3,38.6-37.5,39.2,448(0),タガノアレハンドラ
14,2023/02/05,1小倉8,晴,2,3歳未勝利,14,5,7,13.8,6,11,富田暁,54,芝1800,良,1:50.3,1.3,3-3-3-2,36.8-35.9,37.1,448(+2),アグラシアド
15,2022/10/16,4新潟2,晴,2,2歳未勝利,9,8,8,3.8,2,8,西村淳也,54,芝2000,良,2:04.5,2.2,3-3-3-4,35.6-35.3,37.2,446(-4),パクスオトマニカ
16,2022/08/27,4小倉5,晴,5,2歳新馬,9,8,9,2.9,2,2,富田暁,54,芝2000,良,2:03.4,0.5,3-3-2-2,36.5-35.4,35.7,450(0),スカパラダイス
