race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202505041106,2025/11/02,東京,曇,06,3歳以上1勝クラス,1勝クラス,16,2,4,4.1,2,2,Ｃ．デム,57,ダート,1400,重,0:1:24.2,0.6,3-3,36.1,478,アンクエンチャブル
202505040108,2025/10/04,東京,曇,08,3歳以上1勝クラス,1勝クラス,16,6,11,6.9,3.0,3,横山琉人,56.0,ダート,1600,良,0:1:38.3,0.2,7-6,36.4,476,ヴォンフレ
202503020512,2025/07/12,福島,曇,12,3歳以上1勝クラス,1勝クラス,15,6,10,10.1,5.0,3,横山琉人,55.0,ダート,1700,良,0:1:46.9,0.7,6-3-3-4,38.5,468,プライベートアイズ
202505030408,2025/06/15,東京,曇,08,,1勝クラス,16,2,4,20.9,6.0,2,横山琉人,54.0,ダート,1600,重,0:1:36.1,0.3,8-8,35.8,470,グレイスザクラウン
202505021006,2025/05/25,東京,曇,06,3歳1勝クラス,1勝クラス,9,8,9,11.0,6.0,9,Ｍ．デム,57.0,ダート,1400,不良,0:1:24.0,1.3,8-6,36.7,466,シホノペルフェット
202505020406,2025/05/04,東京,晴,06,3歳1勝クラス,1勝クラス,16,1,2,12.0,5.0,4,松岡正海,57.0,ダート,1400,稍重,0:1:25.1,1.1,10-7,37.1,464,ハリーケーン
202506030206,2025/03/30,中山,晴,06,3歳1勝クラス,1勝クラス,16,1,1,24.0,9.0,6,大野拓弥,57.0,ダート,1200,稍重,0:1:12.1,0.9,7-7,37.7,474,ヤマメキング
202407040609,2024/12/15,中京,晴,09,寒椿賞,1勝クラス,7,5,5,20.3,5.0,3,丸山元気,56.0,ダート,1400,良,0:1:25.8,0.9,5-5,36.8,468,ポールセン
202405040801,2024/10/27,東京,晴,1,2歳未勝利,未勝利,12,2,2,1.5,1,1,Ｃ．デム,56,ダ,1400,良,1:26.0,-0.1,1-1,37.3,470,(スリーソング)
202405040102,2024/10/05,東京,小雨,2,2歳未勝利,未勝利,16,7,14,1.9,1,2,内田博幸,56,ダ,1400,重,1:24.1,0.5,6-4,36.2,470,ルークススペイ
202403020701,2024/07/20,福島,曇,1,2歳未勝利,未勝利,13,1,1,5.3,4,3,内田博幸,55,ダ,1150,良,1:09.6,0.2,8-8,36.5,470,アイビーヒメチャン
202405030605,2024/06/16,東京,晴,5,2歳新馬,新馬,12,3,3,41.8,8,5,内田博幸,55,芝,1400,良,1:23.1,1.0,8-7,34.8,468,プリティディーヴァ
