,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202507050603,2025/12/21,中京,雨,03,3歳以上1勝クラス,1勝クラス,16,3,5,20.5,8,4,小林美駒,54,ダート,1800,稍重,0:1:53.6,0.5,15-15-6-3,38.3,508,ゼンエスポワール
1,202506050212,2025/12/07,中山,晴,12,3歳以上1勝クラス,1勝クラス,16,8,16,13.7,4,7,小林美駒,54,ダート,1800,良,0:1:54.5,1.8,11-11-8-8,38.3,506,リザードアイランド
2,202501020512,2025/09/06,札幌,曇,12,3歳以上1勝クラス,1勝クラス,14,5,8,3.3,1.0,3,小林美駒,52.0,ダート,1700,良,0:1:46.7,0.2,14-14-11-7,37.5,512,メイショウツヨキ
3,202501020412,2025/08/31,札幌,曇,12,3歳以上1勝クラス,1勝クラス,12,2,2,3.8,1.0,3,小林美駒,52.0,ダート,1700,稍重,0:1:45.5,0.1,10-9-8-2,37.0,518,アイオリア
4,202501010808,2025/08/17,札幌,小雨,08,3歳以上1勝クラス,1勝クラス,13,8,13,3.3,2.0,4,小林美駒,52.0,ダート,1700,稍重,0:1:45.9,0.7,12-13-8-4,37.6,512,ディアウス
5,202501010407,2025/08/03,札幌,晴,07,3歳以上1勝クラス,1勝クラス,12,3,3,13.7,7.0,2,小林美駒,52.0,ダート,1700,良,0:1:45.8,0.0,10-10-10-3,37.7,510,カペルブリュッケ
6,202502010808,2025/07/06,函館,晴,08,3歳以上1勝クラス,1勝クラス,13,7,11,4.8,3.0,4,小林美駒,51.0,ダート,1700,稍重,0:1:46.0,1.1,9-9-7-6,37.9,508,レッドライトニング
7,202505021106,2025/05/31,東京,小雨,06,3歳1勝クラス,1勝クラス,10,1,1,10.1,4.0,7,佐々木大,57.0,ダート,1600,不良,0:1:36.6,1.1,3-3,37.1,510,ルグランヴァン
8,202505020106,2025/04/26,東京,曇,06,3歳1勝クラス,1勝クラス,16,8,15,44.6,8.0,7,原優介,57.0,ダート,1600,稍重,0:1:37.4,0.2,6-6,36.3,516,トルショー
9,202506020206,2025/03/02,中山,晴,06,3歳1勝クラス,1勝クラス,16,7,13,160.8,14.0,5,原優介,57.0,ダート,1800,良,0:1:55.1,1.2,10-11-12-13,38.0,514,アメージング
10,202510010401,2025/02/02,小倉,曇,01,3歳未勝利,未勝利,15,7,12,12.7,7.0,1,佐々木大,57.0,ダート,1700,不良,0:1:45.2,-0.3,7-6-1-1,38.5,514,(ザハント)
11,202506010203,2025/01/06,中山,曇,03,3歳未勝利,未勝利,16,4,8,26.2,7.0,6,原優介,56.0,ダート,1800,良,0:1:56.9,1.7,4-4-4-3,40.9,520,ニューファウンド
12,202405040804,2024/10/27,東京,晴,04,2歳新馬,新馬,16,2,3,121.9,12.0,8,原優介,55.0,ダート,1600,良,0:1:42.0,3.1,13-14,36.4,508,タガノバビロン
